gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Vrai_Churn,Prediction_IA_Churn
Male,0,True,False,69,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card (automatic),107.2,7317.1,False,0
Male,1,True,False,12,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,80.45,950.2,True,1
Female,0,False,False,7,True,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,53.65,404.35,False,1
Female,1,True,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.35,341.6,False,1
Male,0,False,True,12,True,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,69.85,837.5,False,0
Female,0,False,False,23,True,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,False,Bank transfer (automatic),83.2,2032.3,False,0
Female,0,False,False,31,True,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,False,Credit card (automatic),65.25,1994.3,True,0
Male,1,False,False,5,True,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,85.55,408.5,False,1
Female,0,True,True,66,True,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),67.45,4508.65,False,0
Female,0,False,False,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,True,1
Male,0,True,False,63,True,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),79.8,5034.05,False,0
Female,1,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.65,69.65,True,1
Female,0,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.35,20.35,False,0
Female,0,False,False,38,True,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,True,Credit card (automatic),84.25,3264.5,True,0
Female,0,True,False,63,True,Yes,Fiber optic,No,No,No,Yes,No,No,One year,True,Credit card (automatic),81.2,4965.1,False,0
Male,1,False,False,45,True,No,DSL,Yes,No,Yes,No,No,Yes,One year,False,Credit card (automatic),62.7,2791.5,True,0
Female,0,False,False,7,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,95.35,660.9,True,1
Female,0,True,True,5,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,30.5,167.2,False,1
Female,0,True,True,20,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.05,406.05,False,0
Male,0,False,False,54,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.0,1149.65,False,0
Male,0,False,True,69,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,True,Credit card (automatic),79.45,5502.55,False,0
Male,0,True,False,12,True,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Credit card (automatic),85.05,999.8,False,1
Male,0,False,False,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.2,908.15,False,0
Female,0,False,True,53,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,84.6,4449.75,False,0
Female,0,True,True,2,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,24.4,36.55,True,1
Male,0,False,True,1,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,49.9,49.9,False,1
Male,1,True,True,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),115.75,8399.15,False,0
Male,0,False,False,68,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),39.9,2796.35,False,0
Male,0,True,False,34,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,False,Mailed check,88.85,3000.25,False,1
Female,0,False,False,29,True,Yes,DSL,No,Yes,No,No,No,No,One year,True,Electronic check,55.25,1620.2,False,0
Male,0,False,False,49,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,False,Electronic check,98.7,4920.55,False,1
Male,1,True,False,60,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,99.0,6017.9,False,1
Female,0,False,True,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.6,35.85,True,1
Female,0,False,False,18,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.15,1345.75,False,1
Female,1,False,False,16,True,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,54.1,889,False,1
Female,0,True,True,20,True,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),95.5,1916.2,False,1
Female,0,False,False,48,True,No,Fiber optic,No,Yes,No,No,No,No,One year,False,Electronic check,75.15,3772.65,False,0
Female,0,False,False,54,True,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,False,Electronic check,80.6,4299.95,False,0
Male,0,True,True,35,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.05,746.75,False,0
Female,1,False,False,23,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,94.75,2293.6,True,1
Female,0,True,False,19,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,89.1,1620.8,False,1
Female,0,True,True,14,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,18.8,255.55,False,0
Male,0,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.9,19.9,True,1
Male,0,False,False,4,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,False,Electronic check,77.85,299.2,True,1
Male,0,False,False,1,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,74.25,74.25,True,1
Female,0,False,False,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.4,358.05,False,0
Male,0,False,False,9,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,81.15,784.45,False,1
Male,0,False,False,31,True,Yes,Fiber optic,No,No,No,Yes,No,No,One year,False,Credit card (automatic),81.7,2548.65,False,0
Female,0,False,False,40,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,False,Credit card (automatic),74.8,2971.7,False,0
Male,0,True,True,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.9,329.75,False,0
Female,0,False,False,33,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,83.35,2757.85,True,1
Female,0,True,False,72,True,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,True,Credit card (automatic),94.45,6921.7,False,0
Female,0,False,False,7,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,79.3,523.15,True,1
Female,0,False,True,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),20.55,57.4,False,0
Female,0,False,True,16,True,Yes,Fiber optic,No,No,No,Yes,No,No,One year,True,Credit card (automatic),79.5,1264.2,False,0
Female,1,False,False,49,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,False,Bank transfer (automatic),103.0,5166.2,False,0
Female,1,False,False,3,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.4,204.7,True,1
Male,1,True,False,55,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.0,4052.4,False,1
Female,0,False,False,3,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.25,210.3,True,1
Female,0,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,19.85,False,1
Female,0,False,False,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,24.9,24.9,False,1
Female,0,True,False,60,False,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,False,Bank transfer (automatic),37.7,2288.7,False,0
Female,0,False,False,18,True,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),95.05,1679.4,False,1
Male,0,False,False,29,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,94.2,2607.6,False,1
Female,0,False,False,48,True,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,True,Bank transfer (automatic),73.85,3581.4,False,0
Male,0,False,True,54,True,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),55.0,3092.65,True,0
Female,0,True,False,70,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.85,1328.35,False,0
Female,0,False,False,2,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.7,169.8,True,1
Female,0,False,False,7,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.05,164.85,True,0
Male,1,True,False,21,True,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,False,Bank transfer (automatic),86.55,1857.25,False,0
Male,0,True,True,72,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),112.25,8041.65,False,0
Male,0,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.25,36.8,False,0
Male,0,True,False,71,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),108.6,7690.9,True,0
Female,0,True,False,46,False,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,45.55,2062.15,False,0
Male,0,True,False,70,True,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,False,Bank transfer (automatic),72.95,5265.55,False,0
Male,0,False,False,63,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,False,Electronic check,105.4,6713.2,False,1
Female,1,True,False,60,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),116.05,6925.9,False,0
Male,0,False,False,4,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),74.8,321.9,True,1
Male,0,True,True,72,True,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,False,Bank transfer (automatic),90.45,6565.85,False,0
Male,0,True,True,70,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,106.05,7554.05,False,0
Male,0,True,False,6,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,25.1,171,False,0
Male,0,False,False,60,True,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,True,Electronic check,89.55,5231.2,False,0
Female,0,False,False,62,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),25.8,1563.95,False,0
Male,0,True,True,9,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),102.6,897.75,False,1
Female,0,True,True,14,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,False,Credit card (automatic),80.45,1137.05,False,0
